City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
156,nar'yan-mar,67.6713,53.087,271.54,95,100,11.62,RU,1715282435
157,al kharijah,25.4514,30.5464,301.81,8,0,1.16,EG,1715282435
158,dzhalil',55.0239,52.7358,273.74,71,18,5.35,RU,1715282436
159,ondjiva,-17.0667,15.7333,296.64,26,11,3.56,AO,1715282437
160,ambodifotatra,-16.9833,49.85,299.23,75,100,8.8,MG,1715282438
161,banda aceh,5.5577,95.3222,300.71,81,39,1.42,ID,1715282439
162,san patricio,28.017,-97.5169,307.68,48,100,0.77,US,1715282440
163,grand falls-windsor,48.9332,-55.6649,282.32,66,100,2.24,CA,1715282441
164,haiku-pauwela,20.9219,-156.3051,299.38,75,20,4.02,US,1715282443
165,isafjordur,66.0755,-23.124,277.26,63,96,2.0,IS,1715282444
166,floro,61.5996,5.0328,284.95,71,20,6.69,NO,1715282445
167,iskateley,67.6803,53.1512,271.49,95,100,11.62,RU,1715282446
168,hamilton,39.1834,-84.5333,295.84,83,100,5.66,US,1715282334
169,kuraymah,18.55,31.85,305.36,9,28,4.69,SD,1715282447
170,vernon,50.2581,-119.2691,296.35,24,14,2.06,CA,1715282448
171,wanganui,-39.9333,175.05,274.1,89,0,1.77,NZ,1715282449
172,kenai,60.5544,-151.2583,276.2,95,100,2.57,US,1715282450
173,pacific grove,36.6177,-121.9166,298.91,60,0,8.49,US,1715282162
174,srivardhan,18.0333,73.0167,300.75,82,0,3.59,IN,1715282452
175,whitehorse,60.7161,-135.0538,281.93,55,100,8.75,CA,1715282453
176,undurkhaan,47.3194,110.6556,280.99,73,100,3.05,MN,1715282454
177,sandnessjoen,66.0217,12.6316,279.21,75,75,4.12,NO,1715282455
178,fang,19.9169,99.2145,295.4,83,5,1.1,TH,1715282456
179,myeik,12.4333,98.6,300.32,83,100,1.66,MM,1715282457
180,anadyr,64.75,177.4833,266.43,73,20,4.0,RU,1715282457
181,geraldton,-28.7667,114.6,293.38,64,100,6.17,AU,1715282459
182,seydi,39.4816,62.9137,293.6,39,100,4.88,TM,1715282459
183,xiaoweizhai,26.1903,107.5125,291.38,99,100,1.74,CN,1715282460
184,lompoc,34.6391,-120.4579,297.51,56,0,2.57,US,1715282332
185,syumsi,57.1111,51.6149,272.17,70,90,4.65,RU,1715282461
186,hengchun,22.0042,120.7439,296.89,71,11,7.78,TW,1715282462
187,kovdor,67.5662,30.4758,267.19,94,100,0.94,RU,1715282463
188,kolonia,50.9333,6.95,291.51,65,0,2.06,DE,1715282465
189,humaita,-7.5061,-63.0208,304.72,61,99,1.35,BR,1715282466
190,georgetown,5.4112,100.3354,301.45,92,40,1.54,MY,1715282467
191,holualoa,19.6228,-155.9522,297.35,76,75,3.6,US,1715282468
192,punta arenas,-53.15,-70.9167,278.21,65,75,1.03,CL,1715282469
193,kapuskasing,49.4169,-82.4331,288.15,29,20,5.14,CA,1715282470
194,darwin,-12.4611,130.8418,300.14,84,100,1.54,AU,1715282402
195,ingersoll,43.0334,-80.883,289.72,58,100,4.64,CA,1715282471
196,abepura,-2.6333,140.5833,297.6,100,40,0.51,ID,1715282472
197,uyuni,-20.4597,-66.825,289.69,28,70,8.22,BO,1715282473
198,kachug,53.9606,105.8817,277.07,98,100,1.79,RU,1715282474
199,enewetak,11.3474,162.3373,300.54,72,95,8.7,MH,1715282475
200,adrar,20.5022,-10.0711,308.73,6,14,3.01,MR,1715282476
201,matoury,4.8483,-52.3317,302.13,79,100,6.17,GF,1715282477
202,changyon,38.2508,125.0961,283.91,90,5,2.33,KP,1715282478
203,atafu village,-8.5421,-172.5159,302.34,74,97,2.43,TK,1715282479
204,makueni boma,-1.8041,37.6203,290.97,93,87,1.47,KE,1715282480
205,bay harbor,30.1471,-85.6146,303.71,81,40,7.2,US,1715282481
206,karratha,-20.7377,116.8463,295.97,54,1,4.13,AU,1715282482
207,safaga,26.7292,33.9365,301.04,35,0,1.75,EG,1715282483
208,valparaiso,-33.0393,-71.6273,293.23,54,0,4.63,CL,1715282485
209,matsuto,36.5167,136.5667,280.0,87,20,1.03,JP,1715282486
210,cidreira,-30.1811,-50.2056,290.78,59,12,4.06,BR,1715282487
211,sambava,-14.2667,50.1667,296.84,81,12,5.85,MG,1715282488
212,talcahuano,-36.7167,-73.1167,286.97,72,40,4.63,CL,1715282415
213,beau vallon,-20.4189,57.6953,298.28,69,40,6.17,MU,1715282490
214,tvoroyri,61.5556,-6.8111,280.58,81,100,7.27,FO,1715282490
215,sinhyeon,34.8825,128.6267,285.09,76,0,2.2,KR,1715282491
216,isla mujeres,21.2311,-86.731,304.18,74,99,6.55,MX,1715282492
217,coruripe,-10.1256,-36.1756,300.31,73,8,5.18,BR,1715282493
218,smara,26.7384,-11.6719,303.18,17,100,5.53,EH,1715282494
219,polyarnyy,69.1989,33.4478,269.21,84,100,2.9,RU,1715282495
220,kaa-khem,51.6833,94.7333,283.38,51,97,2.25,RU,1715282496
